artistName,trackName,trackPrice,releaseDate,trackExplicitness,primaryGenreName,isStreamable
Update Artist Name,Bent Af (feat. DreamDoll),0.99,13/04/2020,Explicit,Hip-Hop/Rap,True
Update Artist Name,What Should I Dodo?,0.99,08/12/2020,Explicit,Hip-Hop/Rap,True
Update Artist Name,Reasons,0.99,27/10/2020,Explicit,Hip-Hop/Rap,True
Update Artist Name,Remember Your Money,0.99,13/08/2020,Not Explicit,Hip-Hop/Rap,True
Update Artist Name,James Harden (feat. Twin Osama),0.99,07/08/2022,Explicit,Hip-Hop/Rap,True
Update Artist Name,Moonlight,0.99,21/07/2020,Explicit,Hip-Hop/Rap,True
Update Artist Name,Changed Up,0.99,12/01/2021,Explicit,Hip-Hop/Rap,True
Update Artist Name,Seabrook,0.99,26/07/2021,Explicit,Hip-Hop/Rap,True
Update Artist Name,Drip Freestyle,0.99,01/11/2020,Explicit,Hip-Hop/Rap,True
Update Artist Name,Therapy (feat. GT & Wraith),0.99,03/03/2021,Explicit,Hip-Hop/Rap,True
Update Artist Name,Master Bass,0.99,05/02/2021,Cleaned,Hip-Hop/Rap,True
Update Artist Name,End of the Show,0.99,13/08/2020,Not Explicit,Hip-Hop/Rap,True
Update Artist Name,28Inch$,0.99,21/07/2020,Explicit,Hip-Hop/Rap,True
Hood Blue sunny O,Stress My Name,0.99,08/05/2003,Not Explicit,R&B/Soul,True
Melody Gardot,Morning Sun,1.29,01/05/2015,Not Explicit,Jazz,True
Euphonic 7,The Artist,0.99,14/03/2006,Not Explicit,Electronic,True
The New 101 Strings Orchestra,Artist’s Life,0.99,01/01/2000,Not Explicit,Dance,True
Melody Gardot,Preacherman,1.29,01/06/2015,Not Explicit,Jazz,True
Melody Gardot,Once I Was Loved,1.29,04/05/2015,Not Explicit,Jazz,True
Tony Bennett,Speak Low,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Melody Gardot,Don't Talk,1.29,04/05/2015,Not Explicit,Jazz,True
Melody Gardot,It Gonna Come,1.29,25/05/2015,Not Explicit,Jazz,True
Melody Gardot,She Don't Know,1.29,04/05/2015,Not Explicit,Jazz,True
Melody Gardot,Same To You,1.29,01/06/2015,Not Explicit,Jazz,True
Melody Gardot,If Ever I Recall Your Face,1.29,04/05/2015,Not Explicit,Jazz,True
Fertile Ground,An Artist Prayer,0.99,13/09/2004,Not Explicit,Jazz,True
Melody Gardot,After the Rain,1.29,01/06/2015,Not Explicit,Jazz,True
Melody Gardot,Don't Misunderstand,1.29,01/06/2015,Not Explicit,Jazz,True
Melody Gardot,Bad News,1.29,01/06/2015,Not Explicit,Jazz,True
Melody Gardot,No Man's Prize,1.29,01/06/2015,Not Explicit,Jazz,True
Melody Gardot,Palmas Da Rua,1.29,01/06/2015,Not Explicit,Jazz,True
Melody Gardot,March For Mingus,1.29,01/06/2015,Not Explicit,Jazz,True
Julie London,Come On-A My House,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Wives and Lovers,1.29,01/01/1999,Not Explicit,Pop,True
Rosemary Clooney & Various Artists,You Started Something,1.29,31/08/2004,Not Explicit,Vocal,True
The Silent Movie Orchestra,Peppy and George (Theme From The Artist),0.99,20/01/2012,Not Explicit,Vocal,True
Rose Murphy,Pennies From Heaven (from The Artist),0.99,04/10/2005,Not Explicit,Vocal,True
Julie London,Daddy,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,You'd Be So Nice to Come Home To,1.29,15/10/1996,Not Explicit,Pop,True
Julie London,My Heart Belongs to Daddy,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Girl Talk,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Makin' Whoopee,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Black Coffee,1.29,01/01/1996,Not Explicit,Pop,True
Tony Bennett,The Folks Who Live On the Hill,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Tony Bennett,Body and Soul,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Rhythm & Sound,King In My Empire (with Cornel Campbell),1.29,13/11/2001,Not Explicit,Reggae,True
Julie London,'Tain't What You Do,1.29,01/01/1999,Not Explicit,Pop,True
Tony Bennett,The Boulevard of Broken Dreams,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Roger Williams,Till,1.29,01/01/1992,Not Explicit,Jazz,True
Julie London,Watermelon Man,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Blues In the Night,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,You and the Night and the Music,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Let There Be Love,1.29,01/01/1999,Not Explicit,Pop,True
Hugo Montenegro,Hang 'Em High,1.29,24/08/1999,Not Explicit,Soundtrack,True
Tony Bennett,The Girl I Love,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Julie London,Nice Girls Don't Stay for Breakfast,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Mickey Mouse March,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Go Slow,1.29,01/01/1996,Not Explicit,Pop,True
Julie London,Comin' Thro' the Rye,1.29,01/01/1999,Not Explicit,Pop,True
Tony Bennett,Where Did the Magic Go,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Christian Jazz Artists Network,How Great Thou Art - Jamie Reid,0.99,29/04/2005,Not Explicit,Christian,True
Julie London,You're My Thrill,1.29,01/01/1957,Not Explicit,Pop,True
Julie London,Love for Sale,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Mad About the Boy,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,I Must Have That Man,1.29,01/01/1999,Not Explicit,Pop,True
Julie London,Night Life,1.29,01/01/1999,Not Explicit,Pop,True
Tony Bennett,A Little Street Where Old Friends Meet,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Gerald Wilson,Viva Tirado,1.29,27/09/1962,Not Explicit,Jazz,True
Tony Bennett,Antonia,1.29,01/01/1989,Not Explicit,Vocal Pop,True
Tony Bennett,When Do the Bells Ring for Me,1.29,01/01/1989,Not Explicit,Vocal Pop,True
David Benoit,Some Other Sunset,1.29,01/01/1998,Not Explicit,Jazz,True
Ornette Coleman & Prime Time,Unknown Artist,1.29,09/08/1988,Not Explicit,Jazz,True
Third World,Spirit Lives,0.99,25/01/2011,Not Explicit,Reggae,True
Tony Bennett,It's Like Reaching for the Moon,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Rhythm & Sound,Best Friend (with Love Joy),1.29,13/11/2001,Not Explicit,Reggae,True
Rhythm & Sound,Jah Rule (with Paul St. Hilaire),1.29,13/11/2001,Not Explicit,Reggae,True
Jason Moran,He Puts On His Coat and Leaves,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Rhythm & Sound,Queen In My Empire (with Jennifer Lara),1.29,13/11/2001,Not Explicit,Reggae,True
Tony Bennett,"I Was Lost, I Was Drifting",1.29,27/02/1990,Not Explicit,Vocal Pop,True
Joe Albany,Autumn In New York,1.29,01/01/1982,Not Explicit,Jazz,True
Rhythm & Sound,Mash Down Babylon (with The Chosen Brothers),1.29,13/11/2001,Not Explicit,Reggae,True
Tony Bennett,Where Do You Go from Love,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Jason Moran,Artists Ought to Be Writing,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Jason Moran,Cradle Song,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Rhythm & Sound,Music Hit You (with Jah Batta),1.29,13/11/2001,Not Explicit,Reggae,True
David Benoit,Stages,1.29,01/01/1998,Not Explicit,Jazz,True
Tony Bennett,I've Come Home Again,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Tony Bennett,A Weaver of Dreams / There Will Never Be Another You,1.29,27/02/1990,Not Explicit,Vocal Pop,True
Jason Moran,Lift Every Voice,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Rhythm & Sound,Making History (with The Chosen Brothers),1.29,13/11/2001,Not Explicit,Reggae,True
Jason Moran,Arizona Landscape,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Joe Albany,Too Late Now,1.29,01/01/1982,Not Explicit,Jazz,True
Ornette Coleman & London Symphony Orchestra,The Artist In America,1.29,01/05/1972,Not Explicit,Jazz,True
Hugo Montenegro and His Orchestra,The James Bond Theme,1.29,24/08/1999,Not Explicit,Soundtrack,True
Stan Getz,Once Again (Outra Vez) [feat. Laurindo Almeida],1.29,01/01/1963,Not Explicit,Jazz,True
Christian Jazz Artists Network,Were You There? - Ron Brown,0.99,22/10/2003,Not Explicit,Christian,True
Jason Moran,Refraction 2,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Joe Albany,They Say It's Wonderful,1.29,01/01/1982,Not Explicit,Jazz,True
Joe Albany,Confirmation,1.29,01/01/1982,Not Explicit,Jazz,True
Christian Jazz Artists Network,Give Thanks - Michael Ripoll,0.99,06/07/2007,Not Explicit,Christian,True
Joe Albany,"Ruby, My Dear",1.29,01/01/1982,Not Explicit,Jazz,True
Joe Albany,A Conversation With Joe Albany,1.29,01/01/1982,Not Explicit,Jazz,True
Joe Albany,For the Little Guy,1.29,01/01/1982,Not Explicit,Jazz,True
Stan Getz,Samba Da Sahra (Sahra's Samba) [feat. Laurindo Almeida],1.29,01/01/1963,Not Explicit,Jazz,True
Stan Getz,Menina Moca (Young Lady) [feat. Laurindo Almeida],1.29,01/01/1963,Not Explicit,Jazz,True
Christian Jazz Artists Network,He Looked Beyond My Faults - Riley and Richburg,0.99,05/07/2004,Not Explicit,Christian,True
Jason Moran,Break Down,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Christian Jazz Artists Network,This Is My Father's World - Phil DeGreg,0.99,01/01/2001,Not Explicit,Christian,True
Stan Getz,Maracatu-Too (feat. Laurindo Almeida),1.29,01/01/1963,Not Explicit,Jazz,True
Various Artists,L.A. City Lights,1.29,22/06/2007,Not Explicit,Jazz,True
Jason Moran,Milestone,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Jason Moran,Refraction 1,1.29,01/01/2006,Not Explicit,Avant-Garde Jazz,True
Stan Getz,Do What You Do Do (feat. Laurindo Almeida),1.29,01/01/1963,Not Explicit,Jazz,True
Christian Jazz Artists Network,Jesus Loves Me - Peggy Duquesnel,0.99,27/11/2001,Not Explicit,Christian,True
Christian Jazz Artists Network,Just a Closer Walk With Thee - Todd Johnson,0.99,01/01/2004,Not Explicit,Christian,True
Various Artists,Where You Want to Be,1.29,14/03/2000,Not Explicit,Jazz,True
Hugo Montenegro and His Orchestra,Thunderball,1.29,24/08/1999,Not Explicit,Soundtrack,True
Gerald Wilson,Blues for Yna Yna,1.29,01/01/1961,Not Explicit,Jazz,True
Christian Jazz Artists Network,Always Have Jesus - Rhonda McCoy,0.99,01/09/2003,Not Explicit,Christian,True
Lou Donaldson,Funky Mama,1.29,01/01/1961,Not Explicit,Bop,True
Various Artists,Spend the Night,1.29,14/03/2000,Not Explicit,Jazz,True
Stan Getz,Winter Moon (feat. Laurindo Almeida),1.29,01/01/1963,Not Explicit,Jazz,True
Various Artists,Whisper Goodnight,1.29,14/03/2000,Not Explicit,Jazz,True
Christian Jazz Artists Network,Angelic Praise - Fletch Wiley,0.99,06/07/2007,Not Explicit,Christian,True
Christian Jazz Artists Network,Gratitude Mood - David Arivett,0.99,06/07/2007,Not Explicit,Christian,True
Various Artists,1600 Broadway,1.29,14/03/2000,Not Explicit,Jazz,True
Lou Donaldson,Peepin',1.29,27/10/1967,Not Explicit,Bop,True
Various Artists,Battle Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Christian Jazz Artists Network,This Little Light of Mine - Rod McGaha,0.99,18/05/1999,Not Explicit,Christian,True
Christian Jazz Artists Network,Eternal Moments - Quamon Fowler,0.99,15/07/2000,Not Explicit,Christian,True
Craig Curry,Blessed Assurance,0.99,25/07/2011,Not Explicit,Jazz,True
"Le Boeuf Brothers, JACK Quartet & Paul Whitworth","A Dream: No. 3, An Artist",0.99,14/10/2016,Not Explicit,Crossover Jazz,True
Various Artists,Gravity Waltz,0.99,01/01/1975,Not Explicit,Country,False
Christian Jazz Artists Network,Psalm - Lance Bryant,0.99,16/12/2002,Not Explicit,Christian,True
Christian Jazz Artists Network,Hypocrite - Carol Frazier,0.99,29/06/1999,Not Explicit,Christian,True
Various Artists,Give Love a Chance,1.29,14/03/2000,Not Explicit,Jazz,True
Various Artists,More Precious Than Gold,1.29,14/03/2000,Not Explicit,Jazz,True
Lou Donaldson,Blues Walk,1.29,28/07/1958,Not Explicit,Bop,True
Rhythm & Sound,We Been Troddin' (with Shalom),1.29,13/11/2001,Not Explicit,Reggae,True
Various Artists,Autumn Leaves,0.99,05/01/2005,Not Explicit,Pop,True
Lou Donaldson,Caracas,1.29,01/01/1963,Not Explicit,Bop,True
Various Artists,City Ruins Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Various Artists,Wind Scene Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Various Artists,Argentina,1.29,14/03/2000,Not Explicit,Jazz,True
Various Artists,So Not So,1.29,14/03/2000,Not Explicit,Jazz,True
Michael Fields Jr.,Say Yes (feat. Miko the Artist),0.99,07/02/2017,Not Explicit,Jazz,True
Various Artists,Flash of Steel Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
David Benoit,Hermosa Skyline,1.29,01/01/1982,Not Explicit,Jazz,True
Various Artists,Begin the Beguine,0.99,05/01/2005,Not Explicit,Pop,True
Various Artists,The Legend Begins Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Gerald Wilson,Milestones,1.29,27/09/1962,Not Explicit,Jazz,True
Various Artists,Midnight Plane,0.99,01/01/2002,Not Explicit,Jazz,True
Various Artists,Chrono Trigger Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Lou Donaldson,Caravan,1.29,08/11/1968,Not Explicit,Bop,True
Andre Avelino,Praise God from Whom All Blessings Flow,0.99,16/11/2004,Not Explicit,Jazz,True
Jeremy Pelt,Feito,0.99,08/02/2019,Not Explicit,Jazz,True
Various Artists,Tenderly,0.99,05/01/2005,Not Explicit,Pop,True
Gerald Wilson,Carlos,1.29,01/01/1966,Not Explicit,Jazz,True
"Justo Almario, Rique Pantoja, Guillermo Guzmàn & Walter Rodriguez",At the Cross,0.99,28/04/2008,Not Explicit,Jazz,True
Michael Parlett,Welcome Into This Place,0.99,15/08/2005,Not Explicit,Jazz,True
Gerald Wilson,Paco,1.29,18/12/1964,Not Explicit,Jazz,True
David Arivett,The Old Rugged Cross,0.99,25/07/2011,Not Explicit,Jazz,True
David Benoit,Life Is Like a Samba,1.29,01/01/1998,Not Explicit,Jazz,True
Joe Albany,I Guess I'll Hang My Tears Out to Dry,1.29,01/01/1982,Not Explicit,Jazz,True
Various Artists - Azzurra Music,Mas Que Nada,0.99,15/04/2000,Not Explicit,Worldwide,True
John Daversa Big Band,Don't Fence Me In (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Lou Donaldson,Cookin',1.29,01/01/2001,Not Explicit,Bop,True
Various Artists,Dancing Mad Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Lou Donaldson,What Will I Tell My Heart,1.29,01/01/1967,Not Explicit,Bop,True
Various Artists,Song of the Ancients Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Lou Donaldson,Herman's Mambo,1.29,01/01/1957,Not Explicit,Bop,True
David Benoit,If I Could Reach Rainbows,1.29,01/01/1998,Not Explicit,Jazz,True
Lou Donaldson,(I'm Afraid) The Masquerade Is Over,1.29,21/08/1954,Not Explicit,Bop,True
Lou Donaldson,Cheek to Cheek,1.29,01/01/1992,Not Explicit,Bop,True
John Daversa Big Band,Living in America (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Lou Donaldson,Lou's Blues (Live),1.29,01/01/2005,Not Explicit,Bop,True
Gerald Wilson,'Round Midnight,1.29,18/12/1964,Not Explicit,Jazz,True
Lou Donaldson,Alligator Bogaloo,1.29,01/01/1967,Not Explicit,Bop,True
John Daversa Big Band,Stars and Stripes Forever (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Various Artists,Encounter with the Seven Heroes Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
Gerald Wilson,Nancy Jo,1.29,27/09/1962,Not Explicit,Jazz,True
Heritage Singers,We Are All His Chlidren,0.99,01/01/2006,Not Explicit,Jazz,True
Lou Donaldson,Dorothy,1.29,21/08/1954,Not Explicit,Bop,True
Gerald Wilson,Jeri,1.29,01/01/1961,Not Explicit,Jazz,True
Seawind,You're My Everything,0.99,12/07/2011,Not Explicit,Jazz,True
Gerald Wilson,The Serpent,1.29,01/01/1966,Not Explicit,Jazz,True
Gerald Wilson,Moody Blue,1.29,01/01/1961,Not Explicit,Jazz,True
David Benoit,Can You Imagine,1.29,01/01/1998,Not Explicit,Jazz,True
Gerald Wilson,The Feather,1.29,01/01/1966,Not Explicit,Jazz,True
Gerald Wilson,Josefina,1.29,27/09/1962,Not Explicit,Jazz,True
John Daversa Big Band,America the Beautiful (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Gerald Wilson,Teri,1.29,27/09/1962,Not Explicit,Jazz,True
John Daversa Big Band,All is One (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Gerald Wilson,El Viti,1.29,01/01/1965,Not Explicit,Jazz,True
John Daversa Big Band,America (West Side Story) [feat. DACA Artists],0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Various Artists,The Love You Give to Me,0.99,01/01/2002,Not Explicit,Jazz,True
Gerald Wilson,Eric,1.29,18/12/1964,Not Explicit,Jazz,True
James Weidman,Song for Tomorrow,0.99,14/04/2004,Not Explicit,Jazz,True
John Daversa Big Band,Salvador (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
John Daversa Big Band,Immigrant Song (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Ruth Naomi Floyd,One in the Spirit,0.99,25/07/2011,Not Explicit,Jazz,True
John Daversa Big Band,Juan Carlos (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
John Daversa Big Band,Deportee (Plane Wreck at Los Gatos) [feat. DACA Artists],0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
John Daversa Big Band,Alicia (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
John Daversa Big Band,Maria (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
John Daversa Big Band,Denzel (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Various Artists,Legend of Mana - Title Theme Jazz Arrangement,1.29,19/12/2018,Not Explicit,Soundtrack,True
John Daversa Big Band,"Red, White, and Remixed (feat. DACA Artists)",0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
John Daversa Big Band,Edson (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
John Daversa Big Band,Caliph (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Hugo Montenegro,Hang 'Em High,1.29,24/08/1999,Not Explicit,Soundtrack,True
Hugo Montenegro and His Orchestra,The James Bond Theme,1.29,24/08/1999,Not Explicit,Soundtrack,True
Hugo Montenegro and His Orchestra,Thunderball,1.29,24/08/1999,Not Explicit,Soundtrack,True
Andre Avelino,Praise God from Whom All Blessings Flow,0.99,16/11/2004,Not Explicit,Jazz,True
Heritage Singers,We Are All His Chlidren,0.99,01/01/2006,Not Explicit,Jazz,True
John Daversa Big Band,All is One (feat. DACA Artists),0.99,21/09/2018,Not Explicit,Contemporary Jazz,True
Les McCann,"Everything Must Change (Les McCann, Guest Artist) Everything",0.99,23/11/2004,Not Explicit,Jazz,True
Erly Thornton,This Christmas (Hang All the Mistletoe),0.99,17/11/2008,Not Explicit,Holiday,True
Various Artists,All the Things You Are,0.99,05/10/2004,Not Explicit,Jazz,True
Various Artists - Avid Entertainment,All Through the Night,0.99,01/01/1993,Not Explicit,Alternative,True
Lionel Hampton,Fantastique,0.99,11/03/2008,Not Explicit,Jazz,True
"Art Davis, Billy Childs, Bunky Green & Ralph Penland",Everything I Have Is Yours,0.99,01/01/1989,Not Explicit,Jazz,True
"Billy Higgins, Cedar Walton, Charles Davis, Don Sickler, Kenny Garrett, Lou Orensteen, Ron Carter & Steve Turré",Willow Weep for Me,0.99,01/01/1986,Not Explicit,Jazz,True
Art Blakey & The Jazz Messengers,Feeling Good,0.99,01/01/1991,Not Explicit,Jazz,True
All Star Orchestra,I Just Roll Along (Having My Ups And Downs),0.99,15/10/2010,Not Explicit,Jazz,True
Joe Williams,"All Right, Ok You Win",0.99,01/01/2001,Not Explicit,Jazz,True
"Art Resnick, Bobby Shew, Chuck Findley, John Patitucci & Sherman Ferguson",Joy Spring,0.99,01/01/1984,Not Explicit,Jazz,True
All Star Orchestra,Chloe,0.99,15/10/2010,Not Explicit,Jazz,True
All Star Orchestra,My Melancholy Baby,0.99,15/10/2010,Not Explicit,Jazz,True
"Benny Golson, Eddie ""Lockjaw"" Davis, Gerryck King, Jerry Peters, Joe Williams, John Collins, John Heard, Norman Simmons & Thad Jones",Corner Pocket: Corner Pocket: Until I Met You,0.99,01/01/1991,Not Explicit,Jazz,True
